pmid,year,title,category
37647114,2023,"Prescribing Patterns of Dupilumab for Atopic Dermatitis in Adults: Retrospective, Observational Cohort Study.",Clinical evidence generation
37674813,2021,The Effect of Statins on Mortality of Patients With Chronic Kidney Disease Based on Data of the Observational Medical Outcomes Partnership Common Data Model (OMOP-CDM) and Korea National Health Insurance Claims Database.,Clinical evidence generation
37697861,2023,Design and Implementation of an ETL-Process to Transfer Wound-Related Data into a Standardized Common Data Model.,Open community data standards
37703800,2023,Determining and assessing characteristics of data element names impacting the performance of annotation using Usagi.,Open source development
37710363,2024,MetaLAB-HOI: Template standardization of health outcomes enable massive and accurate detection of adverse drug reactions from electronic health records.,Methodological research
37724311,2023,Transforming the Information System for Research in Primary Care (SIDIAP) in Catalonia to the OMOP Common Data Model and Its Use for COVID-19 Research.,Open community data standards
37726928,2023,Detection of transthyretin amyloid cardiomyopathy by automated data extraction from electronic health records.,Methodological research
37743838,2023,The association between persistent cognitive difficulties and depression and functional outcomes in people with major depressive disorder.,Clinical evidence generation
37765021,2023,Impact of Concomitant Use of Proton Pump Inhibitors and Clopidogrel on Recurrent Stroke and Myocardial Infarction.,Clinical evidence generation
37769828,2023,"Introducing the BlendedICU dataset, the first harmonized, international intensive care dataset.",Open community data standards
37774908,2023,"Evaluation of OMOP CDM, i2b2 and ICGC ARGO for supporting data harmonization in a breast cancer use case of a multicentric European AI project.",Open community data standards
37794003,2023,Scalable Infrastructure Supporting Reproducible Nationwide Healthcare Data Analysis toward FAIR Stewardship.,Open community data standards
37811595,2023,Cloud-based digital healthcare development for precision medical hospital information system.,Open community data standards
37822457,2023,Loop diuretics association with Alzheimer's disease risk.,Clinical evidence generation
37829182,2023,Multinational patterns of second line antihyperglycaemic drug initiation across cardiovascular risk groups: federated pharmacoepidemiological evaluation in LEGEND-T2DM.,Clinical evidence generation
37860059,2023,A computable biomedical knowledge object for calculating in-hospital mortality for patients admitted with acute myocardial infarction.,Open community data standards
37869827,2023,Application of OMOP Common Data Model for Data Integration: The Bulgarian Diabetes Register.,Open community data standards
37876360,2024,IncidencePrevalence: An R package to calculate population-level incidence rates and prevalence using the OMOP common data model.,Open source development
37942786,2023,Assessing the Use of German Claims Data Vocabularies for Research in the Observational Medical Outcomes Partnership Common Data Model: Development and Evaluation Study.,Open community data standards
37952118,2023,European Health Data & Evidence Network-learnings from building out a standardized international health data network.,Open community data standards
37955965,2023,Development and Validation of a Prognostic Classification Model Predicting Postoperative Adverse Outcomes in Older Surgical Patients Using a Machine Learning Algorithm: Retrospective Observational Network Study.,Methodological research
37957229,2023,Effect of statin use on head and neck cancer prognosis in a multicenter study using a Common Data Model.,Clinical evidence generation
38010062,2024,Bayesian safety surveillance with adaptive bias correction.,Methodological research
38025162,2023,Advancing Toward a Common Data Model in Ophthalmology: Gap Analysis of General Eye Examination Concepts to Standard Observational Medical Outcomes Partnership (OMOP) Concepts.,Open community data standards
38025411,2023,Association Between Persistent Treatment of Alzheimer's Dementia and Osteoporosis Using a Common Data Model.,Clinical evidence generation
38027579,2023,Development and validation of the SickKids Enterprise-wide Data in Azure Repository (SEDAR).,Open community data standards
38028730,2023,Evaluating the impact of alternative phenotype definitions on incidence rates across a global data network.,Methodological research
38035971,2024,Convert-Pheno: A software toolkit for the interconversion of standard data models for phenotypic data.,Open source development
38045364,2023,MENDS-on-FHIR: Leveraging the OMOP common data model and FHIR standards for national chronic disease surveillance.,Open community data standards
38046363,2023,Conversion of CPRD AURUM Data into the OMOP Common Data Model.,Open community data standards
38058679,2023,Transforming Estonian health data to the Observational Medical Outcomes Partnership (OMOP) Common Data Model: lessons learned.,Open community data standards
38061012,2023,MI-Common Data Model: Extending Observational Medical Outcomes Partnership-Common Data Model (OMOP-CDM) for Registering Medical Imaging Metadata and Subsequent Curation Processes.,Open community data standards
38064251,2023,Patient-Centered Economic Burden of Exudative Age-Related Macular Degeneration: Retrospective Cohort Study.,Clinical evidence generation
38105303,2023,Implementation of inclusion and exclusion criteria in clinical studies in OHDSI ATLAS software.,Open source development
38111504,2023,Changing trends and characteristics of peptic ulcer disease: A multicenter study from 2010 to 2019 in Korea.,Clinical evidence generation
38113207,2023,From data strategy to implementation to advance cancer research and cancer care: A French comprehensive cancer center experience.,Clinical evidence generation
38166330,2024,The Scottish Medical Imaging Archive: 57.3 Million Radiology Studies Linked to Their Medical Records.,Open community data standards
38175665,2024,OHDSI Standardized Vocabularies-a large-scale centralized reference ontology for international data harmonization.,Open community data standards
38219763,2024,"The effectiveness of COVID-19 vaccines to prevent long COVID symptoms: staggered cohort study of data from the UK, Spain, and Estonia.",Clinical evidence generation
38222329,2023,"Mapping Clinical Documents to the Logical Observation Identifiers, Names and Codes (LOINC) Document Ontology using Electronic Health Record Systems Structured Metadata.",Open community data standards
38222375,2023,Computational Phenotyping of OMOP CDM Normalized EHR for Prenatal and Postpartum Episodes: An Informatics Framework and Clinical Implementation on All of Us.,Methodological research
38222386,2023,How Are Leading Research Institutions Engaging with Data Sharing Tools and Programs?,Methodological research
38222429,2023,Standardizing Multi-site Clinical Note Titles to LOINC Document Ontology: A Transformer-based Approach.,Open community data standards
38229379,2019,"Opioid use, postoperative complications, and implant survival after unicompartmental versus total knee replacement: a population-based network study.",Clinical evidence generation
38235322,2023,Comparing broad and narrow phenotype algorithms: differences in performance characteristics and immortal time incurred.,Methodological research
38269685,2024,Prediction Models for Readmission Using Home Healthcare Notes and OMOP-CDM.,Clinical evidence generation
38269703,2024,RHEA: Real-World Observational Health Data Exploration Application.,Open source development
38269763,2024,Multi-Institutional Collaborative Research Using Ophthalmic Medical Image Data Standardized by Radiology Common Data Model (R-CDM).,Open community data standards
38269767,2024,Promoting Learning Health System Cycles by Optimizing EHR Data Clinical Concept Encoding Processes.,Open community data standards
38269786,2024,Toward Real-World Reproducibility: Verifying Value Sets for Clinical Research.,Open community data standards
38269823,2024,Development of Integrated Data Quality Management System for Observational Medical Outcomes Partnership Common Data Model.,Open community data standards
38269952,2024,Health-Analytics Data to Evidence Suite (HADES): Open-Source Software for Observational Research.,Open source development
38270038,2024,Feasibility of Applying the OMOP Common Data Model to Traditional Eastern Asian Medicine Dataset.,Open community data standards
38280887,2024,A comparative patient-level prediction study in OMOP CDM: applicative potential and insights from synthetic data.,Methodological research
38315345,2024,Development of Medical Imaging Data Standardization for Imaging-Based Observational Research: OMOP Common Data Model Extension.,Open community data standards
38317275,2024,Impact of COVID-19 on the development of major mental disorders in patients visiting a university hospital: a retrospective observational study.,Clinical evidence generation
38326827,2024,Evaluating MedDRA-to-ICD terminology mappings.,Open community data standards
38347885,2024,INSPIRE datahub: a pan-African integrated suite of services for harmonising longitudinal population health data using OHDSI tools.,Open community data standards
38349850,2024,Transformer-based time-to-event prediction for chronic kidney disease deterioration.,Methodological research
38354027,2024,Use of Metadata-Driven Approaches for Data Harmonization in the Medical Domain: Scoping Review.,Open community data standards
38365848,2024,Effectiveness of IT-supported patient recruitment: study protocol for an interrupted time series study at ten German university hospitals.,Open source development
38387992,2024,"Seamless EMR data access: Integrated governance, digital health and the OMOP-CDM.",Open community data standards
38408983,2024,Conceptual design of a generic data harmonization process for OMOP common data model.,Open community data standards
38410487,2024,PheWAS analysis on large-scale biobank data with PheTK.,Open source development
38412331,2024,Towards global model generalizability: independent cross-site feature evaluation for patient-level risk prediction models using the OHDSI network.,Methodological research
38421482,2024,"Prediction of 30-day, 90-day, and 1-year mortality after colorectal cancer surgery using a data-driven approach.",Methodological research
38425704,2024,A framework for understanding an open scientific community using automated harvesting of public artifacts.,Methodological research
38432534,2024,Creating a computer assisted ICD coding system: Performance metric choice and use of the ICD hierarchy.,Methodological research
38433286,2024,Incidence of mental health diagnoses during the COVID-19 pandemic: a multinational network study.,Clinical evidence generation
38441750,2024,"Authors' Response to Huang et al.'s Comment on ""Serially Combining Epidemiological Designs Does Not Improve Overall Signal Detection in Vaccine Safety Surveillance"".",Methodological research
38472144,2024,Markov modeling for cost-effectiveness using federated health data network.,Open source development
38503885,2024,Real-world evidence of constipation and laxative use in the Korean population with chronic kidney disease from a common data model.,Clinical evidence generation
38509500,2024,Developing a clinical decision support system software prototype that assists in the management of patients with self-harm in the emergency department: protocol of the PERMANENS project.,Open source development
38519026,2024,"Similar Risk of Kidney Failure among Patients with Blinding Diseases Who Receive Ranibizumab, Aflibercept, and Bevacizumab: An Observational Health Data Sciences and Informatics Network Study.",Clinical evidence generation
38520626,2024,Patterns of Comorbidities and Prescribing and Dispensing of Non-steroidal Anti-inflammatory Drugs (NSAIDs) Among Patients with Osteoarthritis in the USA: Real-World Study.,Clinical evidence generation
38526534,2024,Correlation of Socioeconomic and Environmental Factors With Incidence of Crohn Disease in Children and Adolescents: Systematic Review and Meta-Regression.,Clinical evidence generation
38556812,2024,Increase transparency and reproducibility of real-world evidence in rare diseases through disease-specific Federated Data Networks.,Clinical evidence generation
38557864,2024,Use of Recommended Neurodiagnostic Evaluation Among Patients With Drug-Resistant Epilepsy.,Clinical evidence generation
38572301,2024,Research Protocol for an Observational Health Data Analysis on the Adverse Events of Systemic Treatment in Patients with Metastatic Hormone-sensitive Prostate Cancer: Big Data Analytics Using the PIONEER Platform.,Clinical evidence generation
38593431,2024,Converge or Collide? Making Sense of a Plethora of Open Data Standards in Health Care.,Open community data standards
38596781,2024,Predictive Models for Assessing Patients' Response to Treatment in Metastatic Prostate Cancer: A Systematic Review.,Methodological research
38614106,2024,Effectiveness of COVID-19 vaccines to prevent long COVID: data from Norway.,Clinical evidence generation
38626510,2024,recruIT: A cloud-native clinical trial recruitment support system based on Health Level 7 Fast Healthcare Interoperability Resources (HL7 FHIR) and the Observational Medical Outcomes Partnership Common Data Model (OMOP CDM).,Open source development
38635655,2024,The OMOP common data model in Australian primary care data: Building a quality research ready harmonised dataset.,Open community data standards
38658170,2024,Data Resource Profile: Health Insurance Review and Assessment Service Covid-19 Observational Medical Outcomes Partnership (HIRA Covid-19 OMOP) database in South Korea.,Open community data standards
38660421,2024,Health data space nodes for privacy-preserving linkage of medical data to support collaborative secondary analyses.,Open source development
38682500,2024,Mapping the Bulgarian Diabetes Register to OMOP CDM: Application Results.,Open community data standards
38682513,2024,Towards an Electronic Health Prevention Record Based on HL7 FHIR and the OMOP Common Data Model.,Open community data standards
38690224,2024,The Health Equity Explorer: An open-source resource for distributed health equity visualization and research across common data models.,Open source development
38715437,2024,The prevalence of major depressive disorder in people with HIV: Results from the All of Us Research Program.,Clinical evidence generation
38749529,2024,Taipei Medical University Clinical Research Database: a collaborative hospital EHR database aligned with international common data standards.,Open community data standards
38750239,2024,[FAIR health data in the national and international data space].,Open community data standards
38773798,2024,Calculating daily dose in the Observational Medical Outcomes Partnership Common Data Model.,Open community data standards
38777085,2024,Converting OMOP CDM to phenopackets: A model alignment and patient data representation evaluation.,Open community data standards
38792452,2024,Symptoms and Conditions in Children and Adults up to 90 Days after SARS-CoV-2 Infection: A Retrospective Observational Study Utilizing the Common Data Model.,Clinical evidence generation
38806105,2024,Data harmonization and federated learning for multi-cohort dementia research using the OMOP common data model: A Netherlands consortium of dementia cohorts case study.,Open community data standards
38818114,2024,MENDS-on-FHIR: leveraging the OMOP common data model and FHIR standards for national chronic disease surveillance.,Open community data standards
38818399,2024,OHDSI-compliance: a set of document templates facilitating the implementation and operation of a software stack for real-world evidence generation.,Open source development
38836352,2024,High-Intensity Aphasia Intervention Is Minimally Fatiguing in Chronic Aphasia: An Analysis of Participant Self-Ratings From a Large Randomized Controlled Trial.,Clinical evidence generation
38836701,2024,Sharing sensitive data in life sciences: an overview of centralized and federated approaches.,Methodological research
38854711,2024,"Research protocol for an observational health data analysis to assess the applicability of randomized controlled trials focusing on newly diagnosed metastatic prostate cancer using real-world data: PIONEER IMI's ""big data for better outcomes"" program.",Clinical evidence generation
38893186,2024,Transforming a Large-Scale Prostate Cancer Outcomes Dataset to the OMOP Common Data Model-Experiences from a Scientific Data Holder's Perspective.,Open community data standards
38903818,2024,Streamlining intersectoral provision of real-world health data: a service platform for improved clinical research and patient care.,Open community data standards
38909216,2024,Learning debiased graph representations from the OMOP common data model for synthetic data generation.,Methodological research
38923168,2024,Predictability of buprenorphine-naloxone treatment retention: A multi-site analysis combining electronic health records and machine learning.,Clinical evidence generation
38944260,2024,Enhancing healthcare process analysis through object-centric process mining: Transforming OMOP common data models into object-centric event logs.,Methodological research
38964369,2024,KG-LIME: predicting individualized risk of adverse drug events for multiple sclerosis disease-modifying therapy.,Methodological research
38968598,2024,Electronic Health Record-Oriented Knowledge Graph System for Collaborative Clinical Decision Support Using Multicenter Fragmented Medical Data: Design and Application Study.,Open source development
38985896,2024,"Advancing Medical Imaging Research Through Standardization: The Path to Rapid Development, Rigorous Validation, and Robust Reproducibility.",Open community data standards
38996330,2024,Integrating Clinical Data and Medical Imaging in Lung Cancer: Feasibility Study Using the Observational Medical Outcomes Partnership Common Data Model Extension.,Open community data standards
